"ID";"Name";"Longitude_WGS84";"Latitude_WGS84";"Street";"AdmArea";"District";"RouteNumbers";"StationName";"Direction";"Pavilion";"OperatingOrgName";"EntryState";"global_id";"geoData";
"5527";"«23-й кв. Новых Черемушек (к/ст, выс.)», Новочерёмушкинская улица (в центр)";"37.5654769818043";"55.6685427109937";"Новочерёмушкинская улица";"Юго-Западный административный округ";"район Черёмушки";"А246; А121; А103";"23-й кв. Новых Черемушек (к/ст, выс.)";"в центр";"нет";"";"активна";"1720511";"{type=Point, coordinates=[37.5654769818043, 55.6685427109937]}";
"5528";"«Ул. Матросская Тишина», улица Гастелло (в центр)";"37.6896567456895";"55.7838976162463";"улица Гастелло";"Восточный административный округ";"район Сокольники";"А78; АТ32";"Ул. Матросская Тишина";"в центр";"да";"ГУП «Мосгортранс»";"активна";"1720512";"{type=Point, coordinates=[37.6896567456895, 55.7838976162463]}";
"5529";"«3-я Сокольническая ул.», улица Гастелло (в центр)";"37.6845642586264";"55.7857019249626";"улица Гастелло";"Восточный административный округ";"район Сокольники";"АТ32";"3-я Сокольническая ул.";"в центр";"да";"ГУП «Мосгортранс»";"активна";"1720513";"{type=Point, coordinates=[37.6845642586264, 55.7857019249626]}";
"5623";"«Литейно-механический з-д», Люблинская улица (от центра) (1)";"37.7402810396529";"55.6681407975764";"Люблинская улица";"Юго-Восточный административный округ";"район Люблино";"А280; А633; А623; Тб74; Тб50";"Литейно-механический з-д";"от центра";"да";"ГУП «Мосгортранс»";"активна";"1720514";"{type=Point, coordinates=[37.7402810396529, 55.6681407975764]}";
"5531";"«Ул. Юных Ленинцев, 115», улица Юных Ленинцев (в центр)";"37.78445045287";"55.697748657031";"улица Юных Ленинцев";"Юго-Восточный административный округ";"район Кузьминки";"АВк; Тб27; Тб38";"Ул. Юных Ленинцев, 115";"в центр";"да";"ГУП «Мосгортранс»";"активна";"1720515";"{type=Point, coordinates=[37.784450483295, 55.697748288402]}";
"5532";"«Ул. Юных Ленинцев, 101», улица Юных Ленинцев (в центр)";"37.780372503966";"55.6982800874975";"улица Юных Ленинцев";"Юго-Восточный административный округ";"район Кузьминки";"АВк; Тб27; Тб38";"Ул. Юных Ленинцев, 101";"в центр";"да";"ГУП «Мосгортранс»";"активна";"1720516";"{type=Point, coordinates=[37.780372534355, 55.698279718546]}";
"5533";"«Есенинский бульв. - Школа им. Марш. Чуйкова», улица Юных Ленинцев (в центр)";"37.7740894450859";"55.6991016936297";"улица Юных Ленинцев";"Юго-Восточный административный округ";"район Кузьминки";"АВк; Тб27; Тб38";"Есенинский бульв. - Школа им. Марш. Чуйкова";"в центр";"да";"ГУП «Мосгортранс»";"активна";"1720517";"{type=Point, coordinates=[37.774089475618, 55.699101324947]}";
"5534";"«К/т Высота», улица Юных Ленинцев (в центр)";"37.7685195865489";"55.6998501859113";"улица Юных Ленинцев";"Юго-Восточный административный округ";"район Кузьминки";"АВк; Тб27; Тб38";"К/т Высота";"в центр";"да";"ГУП «Мосгортранс»";"активна";"1720518";"{type=Point, coordinates=[37.768519617232, 55.699849817135]}";
"5535";"«Универсам Остров», улица Юных Ленинцев (в центр)";"37.7593732633184";"55.7010560037107";"улица Юных Ленинцев";"Юго-Восточный административный округ";"район Кузьминки";"АВк; Тб27; Тб38";"Универсам Остров";"в центр";"да";"ГУП «Мосгортранс»";"активна";"1720519";"{type=Point, coordinates=[37.759373293515, 55.701055634962]}";
"5536";"«Ул. Юных Ленинцев, 34», улица Юных Ленинцев (в центр) (1)";"37.7546962105974";"55.7009939286097";"улица Юных Ленинцев";"Юго-Восточный административный округ";"район Кузьминки";"АВк; Тб27; Тб38";"Ул. Юных Ленинцев, 34";"в центр";"да";"ГУП «Мосгортранс»";"активна";"1720520";"{type=Point, coordinates=[37.754696241044, 55.700993559855]}";
"5537";"«Волжский бульв.», улица Юных Ленинцев (в центр) (1)";"37.7474502008442";"55.7003342491845";"улица Юных Ленинцев";"Юго-Восточный административный округ";"район Текстильщики";"АВк; А861; Тб27; Тб38";"Волжский бульв.";"в центр";"нет";"";"активна";"1720521";"{type=Point, coordinates=[37.74745023144, 55.700333880115]}";
"5538";"«Ул. Юных Ленинцев, 34», улица Юных Ленинцев (от центра)";"37.7561275810839";"55.7009550201353";"улица Юных Ленинцев";"Юго-Восточный административный округ";"район Кузьминки";"Тб27; Тб38; АВч";"Ул. Юных Ленинцев, 34";"от центра";"да";"ГУП «Мосгортранс»";"активна";"1720522";"{type=Point, coordinates=[37.7561275810839, 55.7009550201353]}";
"5634";"«1-й Саратовский пр.», Саратовская улица (от центра)";"37.7349556214745";"55.7142381728022";"Саратовская улица";"Юго-Восточный административный округ";"район Текстильщики";"А234; А725; А29; А161; А703; А736; А193; А74";"1-й Саратовский пр.";"от центра";"нет";"";"активна";"1720524";"{type=Point, coordinates=[37.7349556214745, 55.7142381728022]}";
"5635";"«2-й Саратовский пр.», Саратовская улица (от центра)";"37.738510078042";"55.7151645213094";"Саратовская улица";"Юго-Восточный административный округ";"район Текстильщики";"А234; А725; А29; А161; А703; А736; А193; А74";"2-й Саратовский пр.";"от центра";"да";"ГУП «Мосгортранс»";"активна";"1720525";"{type=Point, coordinates=[37.738510078042, 55.7151645213094]}";
"6485";"«Ул. Лобачевского», проспект Вернадского (от центра) (2)";"37.4942410805103";"55.6701949342661";"проспект Вернадского";"Западный административный округ";"район Проспект Вернадского";"Тб34; А688; А785; А950";"Ул. Лобачевского";"от центра";"да";"ЗАО «Валль СНГ»";"активна";"1720526";"{type=Point, coordinates=[37.4942410805103, 55.6701949342661]}";
"5637";"«Универсам», Ташкентская улица (в центр) (1)";"37.81784168053";"55.7060036836477";"Ташкентская улица";"Юго-Восточный административный округ";"район Выхино-Жулебино";"А169К; А51; А169";"Универсам";"в центр";"да";"ГУП «Мосгортранс»";"активна";"1720527";"{type=Point, coordinates=[37.81784168053, 55.7060036836477]}";
